Visitor,Home,division_visitor,division_home,Home
Green Bay PackersGB,Green Bay PackersGB,NFC North,NFC North,
Los Angeles RamsLA,Los Angeles RamsLA,NFC West,NFC West,
Tennessee TitansTEN,Tennessee TitansTEN,AFC South,AFC South,
Kansas City ChiefsKC,Kansas City ChiefsKC,AFC West,AFC West,
Baltimore RavensBAL,Baltimore RavensBAL,AFC North,AFC North,
Atlanta FalconsATL,Atlanta FalconsATL,NFC South,NFC South,
Buffalo BillsBUF,Buffalo BillsBUF,AFC East,AFC East,
Washington RedskinsWAS,Washington RedskinsWAS,NFC East,NFC East,
Indianapolis ColtsIND,Indianapolis ColtsIND,AFC South,AFC South,
Cincinnati BengalsCIN,Cincinnati BengalsCIN,AFC North,AFC North,
Detroit LionsDET,Detroit LionsDET,NFC South,NFC South,
New York GiantsNYG,New York GiantsNYG,NFC East,NFC East,
San Francisco 49ersSF,San Francisco 49ersSF,NFC West,NFC West,
Pittsburgh SteelersPIT,Pittsburgh SteelersPIT,AFC North,AFC North,
Houston TexansHOU,Houston TexansHOU,AFC South,AFC South,
Denver BroncosDEN,Denver BroncosDEN,AFC West,AFC West,
Chicago BearsCHI,Chicago BearsCHI,NFC North,NFC North,
Carolina PanthersCAR,Carolina PanthersCAR,NFC South,NFC South,
Cleveland BrownsCLE,Cleveland BrownsCLE,AFC North,AFC North,
Jacksonville JaguarsJAX,Jacksonville JaguarsJAX,AFC South,AFC South,
Miami DolphinsMIA,Miami DolphinsMIA,AFC East,AFC East,
Minnesota VikingsMIN,Minnesota VikingsMIN,NFC North,NFC North,
New York JetsNYJ,New York JetsNYJ,AFC East,AFC East,
Philadelphia EaglesPHI,Philadelphia EaglesPHI,NFC East,NFC East,
Los Angeles ChargersLAC,Los Angeles ChargersLAC,AFC West,AFC West,
Seattle SeahawksSEA,Seattle SeahawksSEA,NFC West,NFC West,
Arizona CardinalsARI,Arizona CardinalsARI,NFC West,NFC West,
Dallas CowboysDAL,Dallas CowboysDAL,NFC East,NFC East,
Tampa Bay BuccaneersTB,Tampa Bay BuccaneersTB,NFC South,NFC South,
New England PatriotsNE,New England PatriotsNE,AFC East,AFC East,
New Orleans SaintsNO,New Orleans SaintsNO,NFC South,NFC South,
Oakland RaidersOAK,Oakland RaidersOAK,AFC West,AFC West,
