index,wins_visitor,wins_local
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1
18,1,0
19,1,0
20,1,1
21,0,0
22,1,0
23,1,0
24,1,0
25,0,1
26,1,0
27,1,1
28,0,0
29,1,1
30,1,0
31,0,0
32,1,0
33,0,2
34,0,2
35,0,2
36,1,1
37,2,2
38,1,1
39,0,2
40,1,1
41,0,0
42,0,1
43,1,1
44,0,2
45,1,2
46,2,1
47,1,0
48,1,3
49,1,1
50,1,2
51,3,3
52,3,2
53,1,2
54,1,2
55,1,0
56,0,1
57,2,0
58,1,3
59,2,2
60,1,0
61,3,2
62,0,0
63,3,3
64,2,2
65,0,0
66,1,2
67,2,3
68,2,2
69,0,2
70,2,1
71,3,2
72,4,0
73,3,2
74,0,2
75,3,3
76,2,4
77,2,3
78,2,5
79,3,2
80,0,3
81,4,2
82,4,2
83,3,4
84,0,0
85,3,3
86,1,1
87,4,3
88,2,1
89,3,0
90,1,2
91,2,4
92,4,2
93,3,1
94,0,4
95,2,0
96,4,2
97,3,5
98,4,3
99,2,2
100,5,1
101,2,2
102,5,3
103,4,5
104,3,3
105,6,1
106,1,5
107,5,1
108,3,5
109,2,3
110,2,2
111,1,3
112,3,6
113,2,3
114,2,4
115,0,4
116,4,6
117,3,4
118,2,7
119,6,5
120,0,2
121,7,3
122,5,4
123,1,5
124,4,4
125,6,5
126,1,0
127,3,4
128,5,3
129,3,3
130,2,6
131,2,2
132,7,3
133,8,5
134,4,2
135,4,4
136,3,3
137,6,0
138,6,2
139,1,7
140,2,1
141,3,2
142,6,4
143,1,5
144,5,7
145,5,4
146,6,5
147,7,8
148,5,3
149,6,7
150,2,5
151,5,3
152,4,5
153,6,2
154,3,7
155,7,3
156,2,1
157,3,8
158,0,5
159,8,5
160,4,5
161,6,4
162,6,6
163,3,3
164,3,7
165,2,4
166,5,0
167,2,4
168,5,8
169,6,3
170,3,1
171,8,5
172,4,5
173,6,9
174,8,9
175,8,6
176,5,3
177,8,6
178,9,3
179,10,9
180,2,5
181,4,0
182,6,6
183,4,4
184,5,2
185,8,2
186,5,6
187,6,3
188,6,7
189,4,3
190,10,7
191,8,9
192,6,6
193,5,3
194,10,9
195,1,5
196,3,9
197,4,8
198,3,8
199,10,10
200,3,4
201,6,5
202,4,4
203,7,3
204,8,10
205,7,6
206,10,7
207,2,5
208,5,11
209,10,5
210,10,1
211,6,3
212,7,10
213,5,9
214,3,2
215,8,8
216,6,3
217,6,3
218,4,6
219,9,5
220,8,6
221,4,11
222,9,8
223,6,10
224,9,7
225,10,11
226,8,11
227,5,5
228,12,6
229,5,6
230,1,3
231,8,5
232,11,8
233,3,3
234,3,5
235,6,5
236,7,7
237,4,11
238,10,7
239,11,10
240,6,10
241,12,5
242,6,1
243,12,3
244,5,11
245,7,10
246,4,12
247,6,7
248,8,13
249,3,7
250,8,10
251,7,5
252,8,4
253,7,6
254,5,8
255,12,11
